geo_code,age_band,sex,population
1111060000,50-54,M,128
1111060000,50-54,F,165
1111060000,55-59,M,147
1111060000,55-59,F,175
1111060000,60-64,M,122
1111060000,60-64,F,147
1111060000,65-69,M,126
1111060000,65-69,F,146
1111060000,70-74,M,94
1111060000,70-74,F,110
1111060000,75-79,M,76
1111060000,75-79,F,90
1111060000,80-84,M,44
1111060000,80-84,F,96
1111060000,85-89,M,31
1111060000,85-89,F,50
1111060000,90-94,M,10
1111060000,90-94,F,17
1111060000,95-99,M,0
1111060000,95-99,F,10
1111060000,100+,M,0
1111060000,100+,F,1
1111061500,0-4,M,47
1111061500,0-4,F,33
1111061500,5-9,M,29
1111061500,5-9,F,35
1111061500,10-14,M,50
1111061500,10-14,F,49
1111061500,15-19,M,62
1111061500,15-19,F,51
1111061500,20-24,M,115
1111061500,20-24,F,133
1111061500,25-29,M,323
1111061500,25-29,F,305
1111061500,30-34,M,362
1111061500,30-34,F,234
1111061500,35-39,M,265
1111061500,35-39,F,182
1111061500,40-44,M,230
1111061500,40-44,F,163
1111061500,45-49,M,265
1111061500,45-49,F,168
1111061500,50-54,M,286
1111061500,50-54,F,174
1111061500,55-59,M,378
1111061500,55-59,F,181
1111061500,60-64,M,406
1111061500,60-64,F,178
1111061500,65-69,M,419
1111061500,65-69,F,212
1111061500,70-74,M,347
1111061500,70-74,F,157
1111061500,75-79,M,188
1111061500,75-79,F,114
1111061500,80-84,M,135
1111061500,80-84,F,138
1111061500,85-89,M,57
1111061500,85-89,F,59
1111061500,90-94,M,22
1111061500,90-94,F,21
1111061500,95-99,M,0
1111061500,95-99,F,11
1111061500,100+,M,3
1111061500,100+,F,2
1111063000,0-4,M,26
1111063000,0-4,F,28
1111063000,5-9,M,38
1111063000,5-9,F,39
1111063000,10-14,M,33
1111063000,10-14,F,46
1111063000,15-19,M,58
1111063000,15-19,F,63
1111063000,20-24,M,143
1111063000,20-24,F,217
1111063000,25-29,M,352
1111063000,25-29,F,478
1111063000,30-34,M,358
1111063000,30-34,F,292
1111063000,35-39,M,195
1111063000,35-39,F,149
1111063000,40-44,M,186
1111063000,40-44,F,135
1111063000,45-49,M,145
1111063000,45-49,F,118
1111063000,50-54,M,170
1111063000,50-54,F,143
1111063000,55-59,M,252
1111063000,55-59,F,179
1111063000,60-64,M,229
1111063000,60-64,F,171
1111063000,65-69,M,216
1111063000,65-69,F,175
1111063000,70-74,M,146
1111063000,70-74,F,111
1111063000,75-79,M,96
1111063000,75-79,F,118
1111063000,80-84,M,73
1111063000,80-84,F,90
1111063000,85-89,M,39
1111063000,85-89,F,55
1111063000,90-94,M,14
1111063000,90-94,F,15
1111063000,95-99,M,1
1111063000,95-99,F,5
1111063000,100+,M,0
